log_id, label1, label2, min, max, steps, value
1718270244840,Eventful,Uneventful, 1, 5, 1, 3
1718270244840,Exciting,Monotonous, 1, 5, 1, 3
1718270244840,Pleasant,Unpleasant, 1, 5, 1, 3
1718270244840,Calm,Chaotic, 1, 5, 1, 2.0
1718270244840,Anxious,Safe, 1, 5, 1, 3.0
1718270244840,Stressed,Relaxed, 1, 5, 1, 3.0
1718270244840,Depressed,Cheerful, 1, 5, 1, 3.0
1718270244840,Detached,Attached, 1, 5, 1, 3.0
1718270244840,Exhausted,Excited, 1, 5, 1, 3.0
1718270244840,uncrowded ,crowded, 1, 5, 1, 2.0
1718270244840,accessible,unaccessible, 1, 5, 1, 2.0
1718270244840,central,remote, 1, 5, 1, 1.0
1718270244840,green ,built-up, 1, 5, 1, 3.0
1718270244840,clean,polluted, 1, 5, 1, 1.0
1718270244840,quiet,busy, 1, 5, 1, 3
1718270244840,relaxing,disturbing, 1, 5, 1, 3
