log_id, label1, label2, min, max, steps, value
1718881973844,Ereignisreich,Ereignislos, 1, 5, 1, 4.0
1718881973844,Anregend,Monoton, 1, 5, 1, 4.0
1718881973844,Angenehm,Unangenehm, 1, 5, 1, 2.0
1718881973844,Ruhig,Chaotisch, 1, 5, 1, 2.0
1718881973844,Ängstlich,Sicher, 1, 5, 1, 4.0
1718881973844,Gestresst,Entspannt, 1, 5, 1, 3
1718881973844,Bedrückt,Unbeschwert, 1, 5, 1, 4.0
1718881973844,Isoliert,Verbunden, 1, 5, 1, 3.0
1718881973844,Erschöpft,Angeregt, 1, 5, 1, 3.0
1718881973844,menschenleer,menschenüberfüllt, 1, 5, 1, 2.0
1718881973844,begehbar,unzugänglich, 1, 5, 1, 3.0
1718881973844,zentral,abgelegen, 1, 5, 1, 4.0
1718881973844,begrünt,bebaut, 1, 5, 1, 4.0
1718881973844,sauber,schmutzig, 1, 5, 1, 3
1718881973844,ruhig,belebt, 1, 5, 1, 2.0
1718881973844,entspannend,aufwühlend, 1, 5, 1, 2.0
